Karlshamn;30 943;2 916;30 899;2 846;31 119;2 668;31 165;2 744;31 112;2 863;31 251;2 906;15 880;2 930;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;96,15 %;92,46 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;84,86 %;71,26 %;84,63 %;70,87 %;88,90 %;81,45 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;55,02 %;46,14 %;63,26 %;54,78 %;83,46 %;73,28 %;36,18 %;31,34 %;19,02 %;13,42 %;19,45 %;14,81 %;19,61 %;14,65 %;24,21 %;18,44 %;31,98 %;27,36 %;46,20 %;33,72 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karlskrona;62 784;5 739;63 323;5 215;64 019;5 125;64 202;5 415;63 671;5 698;63 885;5 823;31 080;5 722;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;95,46 %;92,33 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;82,97 %;74,25 %;82,60 %;75,72 %;90,69 %;85,44 %;99,96 %;99,93 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;53,06 %;48,91 %;61,51 %;55,37 %;74,73 %;62,98 %;41,40 %;31,09 %;35,78 %;28,44 %;35,78 %;30,15 %;38,80 %;33,39 %;38,42 %;31,33 %;44,81 %;37,23 %;60,62 %;45,91 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olofström;13 167;1 370;13 104;1 331;12 990;1 164;12 875;1 171;12 896;1 230;12 902;1 234;6 685;1 222;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;97,90 %;92,41 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;89,44 %;69,64 %;89,50 %;69,95 %;89,52 %;74,91 %;99,94 %;99,91 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;76,63 %;55,37 %;77,55 %;55,92 %;83,19 %;71,44 %;73,29 %;40,80 %;8,36 %;7,59 %;7,31 %;8,68 %;11,48 %;14,09 %;73,52 %;49,51 %;73,92 %;49,76 %;62,51 %;47,71 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ronneby;28 468;2 967;28 393;2 820;28 230;2 512;27 888;2 527;27 771;2 639;27 855;2 615;13 830;2 578;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;97,98 %;95,01 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;89,17 %;77,38 %;89,13 %;78,01 %;90,74 %;83,36 %;99,93 %;99,80 %;99,97 %;99,96 %;100,00 %;100,00 %;100,00 %;100,00 %;60,25 %;57,26 %;62,29 %;59,54 %;74,36 %;59,81 %;3,96 %;4,38 %;16,00 %;10,89 %;16,79 %;13,10 %;17,43 %;13,49 %;31,31 %;36,98 %;33,23 %;39,77 %;36,95 %;25,76 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sölvesborg;16 848;1 825;16 826;1 776;16 829;1 670;16 808;1 719;16 818;1 762;16 818;1 742;7 978;1 771;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;98,38 %;96,66 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;84,83 %;74,74 %;84,57 %;74,77 %;84,87 %;77,90 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;46,77 %;41,15 %;52,86 %;47,47 %;75,31 %;65,89 %;33,51 %;25,37 %;15,32 %;8,00 %;16,09 %;8,44 %;15,97 %;9,89 %;17,80 %;11,24 %;20,67 %;15,96 %;29,77 %;23,66 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avesta;21 938;2 406;21 762;2 338;21 583;2 121;21 486;2 165;21 468;2 207;21 583;2 217;11 969;2 203;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;99,00 %;98,17 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;85,63 %;79,97 %;85,46 %;79,17 %;85,34 %;80,39 %;97,73 %;94,50 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;49,84 %;39,56 %;56,55 %;48,71 %;85,22 %;69,72 %;44,94 %;26,06 %;28,50 %;16,17 %;33,34 %;20,56 %;37,51 %;25,27 %;36,64 %;24,06 %;42,36 %;33,38 %;66,71 %;45,30 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borlänge;48 199;4 290;48 699;4 127;49 272;4 290;49 351;4 324;49 504;4 433;50 049;4 501;24 008;4 539;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;99,11 %;97,86 %;99,99 %;99,95 %;99,99 %;99,95 %;99,99 %;99,98 %;99,99 %;99,95 %;100,00 %;99,98 %;100,00 %;100,00 %;83,58 %;78,79 %;79,29 %;74,80 %;93,98 %;91,07 %;99,51 %;99,35 %;99,96 %;99,91 %;100,00 %;99,98 %;100,00 %;100,00 %;72,48 %;63,55 %;79,93 %;73,25 %;96,85 %;94,36 %;57,04 %;40,56 %;46,41 %;29,63 %;50,29 %;35,87 %;52,62 %;40,24 %;53,62 %;41,91 %;63,31 %;58,32 %;72,70 %;58,38 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falun;55 248;6 475;55 631;6 436;55 998;6 222;56 082;6 441;56 391;6 541;56 722;6 625;26 879;7 198;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;96,57 %;93,67 %;99,86 %;99,72 %;99,83 %;99,74 %;99,96 %;99,92 %;99,96 %;99,89 %;99,98 %;99,89 %;100,00 %;100,00 %;81,23 %;78,90 %;86,27 %;80,19 %;88,29 %;84,22 %;99,78 %;99,80 %;99,93 %;99,85 %;99,98 %;99,89 %;100,00 %;100,00 %;62,13 %;53,77 %;61,93 %;56,12 %;83,51 %;72,58 %;50,13 %;43,07 %;47,57 %;36,87 %;46,58 %;37,35 %;48,45 %;39,56 %;49,23 %;39,73 %;48,06 %;40,29 %;59,25 %;42,82 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gagnef;10 067;1 516;10 028;1 357;10 055;1 452;10 023;1 505;9 964;1 563;9 973;1 586;4 314;1 599;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;93,11 %;91,95 %;99,85 %;99,41 %;99,74 %;99,79 %;99,81 %;99,80 %;99,99 %;99,94 %;99,97 %;99,94 %;100,00 %;100,00 %;68,12 %;67,55 %;68,22 %;68,39 %;69,48 %;70,52 %;92,75 %;91,23 %;99,97 %;99,87 %;99,97 %;99,94 %;100,00 %;100,00 %;22,07 %;20,28 %;32,59 %;31,15 %;44,51 %;37,65 %;1,16 %;1,12 %;0,21 %;0,59 %;2,03 %;2,13 %;2,94 %;2,79 %;3,86 %;4,67 %;5,67 %;6,49 %;7,37 %;7,25 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hedemora;15 259;2 160;15 196;2 003;15 165;1 815;15 120;1 861;15 068;1 919;15 024;1 947;7 850;1 977;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;100,00 %;96,41 %;92,87 %;99,94 %;99,90 %;99,94 %;99,89 %;99,93 %;99,84 %;100,00 %;100,00 %;99,99 %;100,00 %;100,00 %;100,00 %;86,43 %;73,66 %;85,75 %;73,94 %;85,99 %;76,80 %;90,53 %;83,61 %;99,98 %;100,00 %;99,99 %;100,00 %;100,00 %;100,00 %;42,68 %;34,39 %;52,21 %;40,83 %;72,41 %;55,54 %;54,08 %;34,54 %;6,25 %;6,69 %;15,93 %;14,16 %;22,90 %;21,55 %;25,78 %;24,13 %;28,93 %;25,99 %;39,15 %;25,24 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
